ID    RISK     STATUS   CVSS-VECTOR  CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------   -----------  ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
6271  Unknown  Waiting               -1         3             []     []                                  [CWE_16]                   [MSTG_7_5]                    []                               [MASVS_4_3]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:23.113862 +0000 UTC  37
6278  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:23.489726 +0000 UTC  38
6279  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:23.546834 +0000 UTC  39
6280  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:23.594887 +0000 UTC  40
6281  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:23.647778 +0000 UTC  41
6282  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:23.730209 +0000 UTC  42
6283  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:23.796189 +0000 UTC  43
6284  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:23.899716 +0000 UTC  44
6285  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:24.028409 +0000 UTC  45
6286  Unknown  Waiting               -1         3             []     []                                  [CWE_23]                   [MSTG_6_2]                    []                               [MASVS_4_4]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:24.20384 +0000 UTC   46
6287  Unknown  Waiting               -1         3             []     []                                  [CWE_749]                  [MSTG_6_5]                    []                               [MASVS_6_2]            []                 []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:24.370857 +0000 UTC  55
